movieId,movie_idx,title_clean,genres_clean,corpus
260,24,Star Wars: Episode IV - A New Hope (a.k.a. Star Wars),action adventure sci fi,star wars: episode iv - a new hope (a.k.a. star wars) action adventure sci fi action adventure sci fi desert quotable lucas gfei own it seen more than once sci-fi classic spielberg/lucas too old. showing its age harrison ford highly quotable great soundtrack george lucas darth vader luke skywalker space opera national film registry carrie fisher mark hamill peter cushing space travel breakthroughs !george lucas fantasy usa film registry futuristmovies.com chewbacca alec guinnes imdb top 250 w/e afi #15 atmospheric director-screenwriter myth noise in space space heroic mission humorous robots and androids rousing space wars stylized hot scifi c3po eric's dvds seen at the cinema awesome soundtrack bechdel test:fail murder/fatality divx1 dvd1 oscar (best art direction - set decoration) oscar (best costume design) oscar (best editing) oscar (best effects - visual effects) oscar (best music - original score) oscar (best sound) reluctant hero saturn award (best actor) saturn award (best actress) saturn award (best costumes) saturn award (best director) saturn award (best makeup) saturn award (best music) saturn award (best science fiction film) saturn award (best special effects) saturn award (best supporting actor) saturn award (best writing) space combat pinnacle film star wars space-opera nerdy tumey's dvds dvd death star force han solo leia light saber luke millenium falcon obi wan obi wan kenobi princess r2 d2 tie fighter x wing tv vhs action akira kurosawa homage rating very dependent on version robots comic book style james earl jones adventure franchise overrated far future war empire usa 70s sequel alec guiness series midgets sword fight 70mm epic adventure complete afi 100 afi 100 (cheers) afi 100 (movie quotes) afi 100 (thrills) galactic
376,25,"River Wild, The",action thriller,"river wild, the action thriller action thriller scenic hostage meryl streep"
590,26,Dances with Wolves,adventure drama western,dances with wolves adventure drama western adventure drama western afi 100 lame native biopic american indians native americans war can see 100 times no bore at all library national film registry too long oscar (best cinematography) oscar (best directing) oscar (best picture) on dvr beautifull places. wonderfull story kevin costner pretentious garbage about good things i hate this pile of crap good photography indians afi #75 best picture villain nonexistent or not needed for good story bittersweet compassionate earnest poignant sweeping much overrated culture drama 3.5 dvd based on book oscar (best editing) oscar (best music - original score) oscar (best sound) oscar (best writing - screenplay based on material from another medium) culture clash can't remember k movie david lynch historical western tribal oscar best picture us history 70mm afi 100 (cheers)
648,27,Mission: Impossible,action adventure mystery thriller,mission: impossible action adventure mystery thriller action adventure mystery thriller confusing confusing plot memorable sequence i dont like tom cruise action tom cruise gfei own it by far the best pick out of the three based on a tv show big budget brian de palma espionage classic thriller suspense seen at the cinema murder divx1 best of de palma military emmanuelle beart henry czerny john voight jean reno less fx less fx and more storyline please more storyline u2 song
719,28,Multiplicity,comedy,multiplicity comedy comedy mentally impaired michael keaton lame stupid clones
733,29,"Rock, The",action adventure thriller,"rock, the action adventure thriller action adventure thriller gfei own it alcatraz nicolas cage sean connery criterion ed harris terrorism homelist1 own seen at the cinema want biological warfare action clearplay r"
736,30,Twister,action adventure romance thriller,twister action adventure romance thriller action adventure romance thriller disaster storm bill paxton helen hunt jan de bont action adventure philip seymour hoffman popcorn science co-writer:michael crichton want thriller tornado easily confused with other movie(s) (title) exciting twist ending tornados weather michael crichton foqam total and obvious cgi
780,31,Independence Day (a.k.a. ID4),action adventure sci fi war,independence day (a.k.a. id4) action adventure sci fi war action adventure sci fi war action alien invasion aliens will smith sci-fi dvd seen at the cinema seen more than once pretty sucky stupid america porn bad movie futuristmovies.com bill pullman roland emmerich adventure eua area 51 explodeytime very good afternoon section end of the world 70mm blowup disaster ominous scifi so stupid it's bad the dog lives us president war flashy frantic humorous rousing tense ei muista want oscar (best effects - visual effects) saturn award (best director) saturn award (best science fiction film) saturn award (best special effects) don't take it seriously folks! cheese cheesy ensemble cast patriotic indiana watch-fully scenario stupid will smith too bad... invasion black man oscar winner sf e.t. 70mm
786,32,Eraser,action drama thriller,eraser action drama thriller action drama thriller arnold schwarzenegger action arnold railgun divx1 oscar nominee james caan watch clv
802,33,Phenomenon,drama romance,phenomenon drama romance drama romance interesting concept own john travolta clarivoyance good music easily confused with other movie(s) (title) misunderstood character teaches us all a cheesy lesson david gallagher robert duvall forest whitaker genius kyra sedgwick telekinesis
858,34,"Godfather, The",crime drama,"godfather, the crime drama crime drama oscar (best picture) marlon brando classic dvd cinematographer:gordon willis coppola guns im gonna make him an offer he can't refuse. a true masterpiece divx best movies ever greatest movie of all time mafia atmospheric national film registry old school mob overrated book organized crime oscar (best actor) breakthroughs visceral boring great cast excellent afi100 r al pacino francis ford coppola need to buy francis ford copolla classical crime family imdb top 250 hollywood robert duvall afi #3 best picture own sequel better than original erlend's dvds afi 100 afi 100 (movie quotes) based on a book fall from power father son relationship gordon willis immigrants mob new york city patriarch stylized fathers and sons lavish mafia life melancholy menacing rise to power somber sweeping awesome nudity (topless) exceptional acting memorable characters owned action katso sanna! divx1 diane keaton tumey's dvds tumey's to see again long strong director top 10 ever tag can't remember movie to see goldie hawn watch-again i don't get it drama usa my movies james caan mario puzo robert de niro large nostra visual the romance of crime afi 100 (thrills)"
1049,35,"Ghost and the Darkness, The",action adventure,"ghost and the darkness, the action adventure action adventure lions own seen at the cinema adventure africa can't remember adventure fantasy man eating lions chilling"
1073,36,Willy Wonka & the Chocolate Factory,children comedy fantasy musical,willy wonka & the chocolate factory children comedy fantasy musical children comedy fantasy musical based on a book roald dahl classic gene wilder whimsical want to own muscial quotable remade surreal brilliant johnny depp need to buy mel stuart cult film infantil boring author:roald dahl screenwriter:roald dahl heartwarming memorable characters family bonds fantasy seen more than once adapted from:book remadeas:charlie and the chocolate...(2005) remakeof:willy wonka...(1971) chocolate poetic justice better than the remake dvd esoteric plotlines children morals children's story espionage recluse
1210,37,Star Wars: Episode VI - Return of the Jedi,action adventure sci fi,star wars: episode vi - return of the jedi action adventure sci fi action adventure sci fi desert fantasy sci-fi space lucas gfei own it seen more than once spielberg/lucas darth vader luke skywalker space opera carrie fisher harrison ford mark hamill futuristmovies.com george lucas imdb top 250 good redemption bah classic han solo myth sequel space battle adventure eric's dvds bad divx1 father-son relationship oscar (best art direction - set decoration) oscar (best effects - sound effects editing) oscar (best music - original score) oscar (best sound) saturn award (best actor) saturn award (best costumes) saturn award (best makeup) saturn award (best science fiction film) saturn award (best special effects) star wars space-opera nerdy tumey's dvds strong director dvd rating very dependent on version robots seen at the cinema death of darth vader superhero james earl jones action far future war richard marquand usa franchise series crappy fight choreography crappy sequel plot holes 70mm violent galactic
1356,38,Star Trek: First Contact,action adventure sci fi thriller,star trek: first contact action adventure sci fi thriller action adventure sci fi thriller space borg futuristmovies.com patrick stewart jonathan frakes saturn award (best supporting actress) based on a tv show time travel owned seen at the cinema cameo:whoopi goldberg star trek intense based on tv series saturn award (best costumes) saturn award (best supporting actor) tv whoopi goldberg seen several times franchise noise in space space opera
1391,39,Mars Attacks!,action comedy sci fi,mars attacks! action comedy sci fi action comedy sci fi alien invasion jack nicholson tim burton seen more than once parody lame ending stupid two hours of suck funny dvd ensemble cast saturn award (best music) nice aliens marlon brando pierce brosnan domination doesn't always require more intelligence just better guns annette bening glenn close
1544,40,"Lost World: Jurassic Park, The (Jurassic Park 2)",action adventure horror sci fi thriller,"lost world: jurassic park, the (jurassic park 2) action adventure horror sci fi thriller action adventure horror sci fi thriller dinosaurs steven spielberg boring read the book seen more than once seen at the cinema divx1 michael crichton nature vs. civilization lost child julianne moore arliss howard jeff goldblum pete postlethwaite richard attenborough franchise foqam 70mm"
213,41,Burnt by the Sun (Utomlyonnye solntsem),drama,burnt by the sun (utomlyonnye solntsem) drama drama russian library russian communist tragedy oscar (best foreign language film) hw foreign not corv lib
1148,42,Wallace & Gromit: The Wrong Trousers,animation children comedy crime,wallace & gromit: the wrong trousers animation children comedy crime animation children comedy crime aardman animated clay funny penguin wallace & gromit animals as nemesis claymation nick park robots oscar winner aardman studios dogs short wallace and gromit english penguins gone wrong smart pets penguins bob baker animals as companions disguise invention gret bechdel test:fail brilliant hilarious cute 3.5 seen want to see again clay animation animation comedy sf stop motion fun classic parks to-rent
1246,43,Dead Poets Society,drama,dead poets society drama drama poetry seen more than once ohsoso high school robin williams teacher inspirational school rite of passage veja friendship drama school drama own melodrama teen carpe diem highschool philosophy dvd-r prep school watch-again 89 special boarding school shakespeare childhood english literature 70mm afi 100 (cheers) afi 100 (movie quotes)
1252,44,Chinatown,crime film noir mystery thriller,chinatown crime film noir mystery thriller crime film noir mystery thriller afi 100 emerson must see classic perfect neo-noir incest polanski national film registry nicholson love this movie film theory & criticism imdb top 250 scope slow los angeles noir film noir jack nicholson afi #19 best performance:  faye dunaway as evelyn cross mulwray erlend's dvds exceptional acting atmospheric austere bleak cynical femmes fatales haunted by the past menacing private eyes somber wry roman polanski oedipus great screenplays very chic nudity (topless - brief) can't remember cameo:roman polanski murder prequel to:the two jakes private detective sequel to:chinatown setting:la water oscar (best writing - screenplay written directly for the screen) nicolson tumey's dvds but good overrated nicholson style dvd-r afi 100 (movie quotes) afi 100 (thrills)
1276,45,Cool Hand Luke,drama,cool hand luke drama drama classic prison national film registry oscar (best supporting actor) on computer imdb top 250 great movie atmospheric confrontational deliberate escape from prison forceful gritty humorous tumey's dvds paul newman drama george kennedy betamax afi 100 (cheers) afi 100 (movie quotes)
1288,46,This Is Spinal Tap,comedy musical,this is spinal tap comedy musical comedy musical directorial debut music business christopher guest mockumentary classic comedy music satire alone heavy metal national film registry rock and roll legenda pt-br erlend's dvds hard rock rise and fall deadpan easygoing goofy irreverent satirical witty rob reiner criterion seen more than once documentary bechdel test:fail music:metal boring billy crystal quirky christoper guest not bad rockumentary wired 50 greatest soundtracks cultural classic cult harry shearer metal rock movie to see farce cast hair pods afi 100 (laughs)
1408,47,"Last of the Mohicans, The",action romance war western,"last of the mohicans, the action romance war western action romance war western pg-13 hawkeye james fennimore cooper excellent historical depiction daniel day-lewis madeleine stowe own adapted from:book author:fennimore cooper character:hawkeye tumey's dvds adventure fennimore cooper tribal 70mm"
1552,48,Con Air,action adventure thriller,con air action adventure thriller action adventure thriller airplane convicts prison aeroplane aviation great actions nicolas cage simon west dave chapelle afternoon section steve buscemi seen at the cinema watched 1997 john malkovich jerry bruckheimer
1564,49,For Roseanna (Roseanna's Grave),comedy drama romance,for roseanna (roseanna's grave) comedy drama romance comedy drama romance 
1597,50,Conspiracy Theory,drama mystery romance thriller,conspiracy theory drama mystery romance thriller drama mystery romance thriller julia roberts mel gibson suprisingly enervating conspiracy 14.01.06 bibliothek seen afternoon section contrived. patrick stewart freak clearplay r mystery gay i think there was one really good joke or two if only gibson was depressed enough to be just a little smarter than this... thiller thought-provoking
1674,51,Witness,drama romance thriller,witness drama romance thriller drama romance thriller amish character study ethical awful...just awful seen it many times! nudity (topless - notable) murder 'i guess repression does have it's moments after all' tumey's dvds harrison ford
3408,52,Erin Brockovich,drama,erin brockovich drama drama girlie movie drama socially relevant without martha scandal true story library vhs oscar (best actress) julia roberts inspired by a real-life person strong women afternoon section playlist great screenplays inspiring damn the man based on a true story courtroom protagonist is legal assistant investigation oscar socially irrelevant owned erotic environmental social commentary strong woman re-watch great acting great story afi 100 (cheers)
3684,53,"Fabulous Baker Boys, The",drama romance,"fabulous baker boys, the drama romance drama romance audition brother-brother relationship brothers christmas dogs music musician's life musicians piano waste of time bibliothek afternoon section nudity (topless - brief) michelle pfeiffer beau bridges jeff bridges tumey's dvds betamax"
4535,54,"Man From Snowy River, The",drama romance western,"man from snowy river, the drama romance western drama romance western 1890s australian based on a poem cowboy horse outback scope from an epic ballad historic austrialian outback old jack thompson kirk douglas lorraine bayly sigrid thornton tom burlinson"
4677,55,Turner & Hooch,comedy crime,turner & hooch comedy crime comedy crime dogs tom hanks animal:dog can't remember
4995,56,"Beautiful Mind, A",drama mystery romance,"beautiful mind, a drama mystery romance drama mystery romance psychology jennifer connelly is a fox divx alan dad judy moira mom seth intelligent crowe biography book very interesting math schizophrenia oscar (best directing) oscar (best picture) oscar (best supporting actress) mathematics bravery brilliance mental illness based on a book biopics matemathic playlist erlend's dvds reality or imagination? nobel prize eric's dvds thinker russell crowe divx1 true story genius owned romance get oscar winner absent-minded professor ron howard maths head movie russel crowe special mind my movies dvd-video afi 100 (cheers)"
5299,57,My Big Fat Greek Wedding,comedy romance,my big fat greek wedding comedy romance comedy romance girlie movie evil gia carides strong women wedding chick flick romance seen more than once seen at the cinema romcom my favourite of all nia vardalos culture shock ian gomez john corbett louis mandylor comedy greek crude humor fornication
5505,58,"Good Girl, The",comedy drama,"good girl, the comedy drama comedy drama adultery younger men jennifer aniston tragicomedy jake gyllenhaal chick flick anniston is very good nudity (topless - brief) jennifer anniston mike white"
5527,59,Possession,drama romance,possession drama romance drama romance as byatt books 19th century a. s. byatt academia book was better adapted from:book author:a. s. byatt england pg-13 pg-13:sexuality pg-13:some thematic elements scope seen more than once ?adapted from:book author:a. s. byatt?
5952,60,"Lord of the Rings: The Two Towers, The",action adventure fantasy,"lord of the rings: the two towers, the action adventure fantasy action adventure fantasy based on a book big budget new zealand scenic high fantasy want it dvd seen more than once fantasy author:j. r. r. tolkein magic tolkein sequel ring andy serkis bernard hill billy boyd brad dourif cate blanchett christopher lee david wenham dominic monaghan elijah wood ian mckellen john rhys-davies karl urban miranda otto orlando bloom sean astin viggo mortensen peter jackson overrated the second part of the best fucking movies ever!!!! imdb top 250 action adventure jackson awesome soundtrack epic read the book must see tolkien sequels filmed simultaneously elves royalty owned dynamic cgi action eric's dvds slashy seen at the cinema adapted from:book hugo weaving divx1 trilogy tumey's dvds middle earth castle fighting orc orcs war own too long rating very dependent on version los angeles book was better (but neither was good) myth way too long fantasy world boring long best of the series so far hobbits morality movie to see liv tyler franchise read book first afi 100 (movie quotes) oscar (best effects - visual effects) oscar (best sound) saturn award (best costumes) saturn award (best fantasy film) saturn award (best makeup) saturn award (best supporting actor) epico"
6287,61,Anger Management,comedy,anger management comedy comedy psychology pg-13 adam sandler jack nicholson peter segal funny playlist angelina jolies lips john turturro not worth a star
6377,62,Finding Nemo,adventure animation children comedy,finding nemo adventure animation children comedy adventure animation children comedy talking animals pixar animation dvd disney fish birds dentist mischievous children see: the spongebob squarepants movie sydney oscar (best animated feature) g my dvds ocean funny imdb top 250 very good erlend's dvds favorite own memory loss seen at the cinema disney animated feature orphaned cartoon character pixar animation divx1 father-son relationship saturn award (best animated film) saturn award (best supporting actress) underwater eric bana cartoon lost child owned feel good movie tumey's dvds classic vivid characters ========================= cgi film noir boring cutesy not as good as shrek overrated nice seen more than once children fun my movies
6539,63,Pirates of the Caribbean: The Curse of the Black Pearl,action adventure comedy fantasy,pirates of the caribbean: the curse of the black pearl action adventure comedy fantasy action adventure comedy fantasy gfei own it pirates cinematographer:dariusz wolski adventure johnny depp seen more than once fun divx i loved it! seen it five times already! want to own keira knightley quotable swashbuckler captain cartoonish disappointing father daughter relationship forced marriage heroic mission medallion monkey overrated rival suitor sailing ships sword fight undead weaponsmith keira knightly orlando bloom action kick ass my dvds gore verbinski imdb top 250 disney afternoon section funny real-life cartoon best performance:  johnny depp as captain jack sparrow thriller curse magic almost favorite own memorable characters owned pirate predictable slashy suspense war disney studios ghosts/afterlife seafaring way too long 2 divx1 anti-hero saturn award (best costumes) zombie ghosts pixar geoffrey rush jack davenport jonathan pryce lee arenberg mackenzie crook excellent! great story and cinetmatography fun but overrated sailing zombies comedy swashbuckling
7153,64,"Lord of the Rings: The Return of the King, The",action adventure fantasy,"lord of the rings: the return of the king, the action adventure fantasy action adventure fantasy based on a book big budget new zealand scenic high fantasy casamento want it dvd seen more than once sean bean dies author:j. r. r. tolkein read book first oscar an excellent trilogy fantasy oddly moving really awesome tolkein oscar (best picture) gardener ring andy serkis bernard hill billy boyd cate blanchett david wenham dominic monaghan elijah wood hugo weaving ian holm ian mckellen john rhys-davies karl urban liv tyler miranda otto orlando bloom sean astin sean bean viggo mortensen oscar (best directing) peter jackson tolkien epic the third part of the best movie ever!!!! imdb top 250 literary adaptation action adventure rings awesome soundtrack war must see life choices sequels filmed simultaneously elves great war scene king oscar (best music - original score) oscar (best music - original song) saturn award (best fantasy film) cool like-i-like top pick atmospheric earnest lavish ominous rousing stirring stylized sweeping tense overrated owned cgi dynamic cgi action eric's dvds slashy seen at the cinema adapted from:book divx1 trilogy tumey's dvds middle earth fighting grand homoerotic hobbit-on-hobbit action own too long rating very dependent on version cavalry charge love myth hobbits fantasy world fatasy magic boring long movie to see franchise first had a very matrix trilogy progression i didnt feel like the king ever existed oscar (best makeup) oscar (best writing - screenplay based on material from another medium) saturn award (best makeup) saturn award (best music) saturn award (best special effects) saturn award (best supporting actor) saturn award (best writing)"
7155,65,Calendar Girls,comedy,calendar girls comedy comedy based on a true story nudity women's institute nudity (topless) british cancer watched 2007 drama helen mirren true story movie to see
8529,66,"Terminal, The",comedy drama romance war,"terminal, the comedy drama romance war comedy drama romance war speilberg seen 2008 very worthwhile one of the best movies ever drama spielberg tom hanks inauthentic unrealistic emotion! boring didn't finish silly propaganda what is happiness? catherine zeta jones funny steven spielberg airport dvd dull ending kurosawa tom hanks is great teen catherine zeta-jones flick slow hw drama krakozhia"
8533,67,"Notebook, The",drama romance war,"notebook, the drama romance war drama romance war the most romantic notebook on dvr to see the most touching great ending jan sardi jeremy leven pg-13 romance love&war rachel mcadams is hot owned avi tolerable chick flick gena rowlands heather wahlquist james garner james marsden joan allen rachel mcadams ryan gosling 1 movie to see"
8783,68,"Village, The",drama mystery thriller,"village, the drama mystery thriller drama mystery thriller small town twist ending who cares dvds atmospheric m. night shyamalan divx forest village surprise ending joaquin phoenix my dvds sigourney weaver interesting own shyamalan owned not what was expected but still good trailer was misleading weak twist stupid violent special vw awesome good soundtrack one of the best scenes in filmmaking history unstupid bryce dallas howard"
27821,69,"Interpreter, The",drama thriller,"interpreter, the drama thriller drama thriller united nations 12.06.06 bibliothek seen african atrocities sean penn eric's dvds africa new york city intense nicole kidman awful accent fictional african country moped sydney pollack acting"
33750,70,Innocent Voices (Voces inocentes),drama war,innocent voices (voces inocentes) drama war drama war library netwatch
21,71,Get Shorty,action comedy drama,get shorty action comedy drama action comedy drama hollywood travolta owned mafia satire:hollywood insiders john travolta getting old but still excellent watch gene hackman crime mob foqam funny! hilarious! satire
34,72,Babe,children comedy drama fantasy,babe children comedy drama fantasy children comedy drama fantasy dvd collection animal movie pigs chris noonan adventure infantil boring villain nonexistent or not needed for good story talking animals favorite own way overrated farm tale animal:pig barnyard animals hugo weaving biography animal animals pig clv afi 100 (cheers)
39,73,Clueless,comedy romance,clueless comedy romance comedy romance teen jane austen want to own emma girlie movie saw it ten times high school updated classics alicia silverstone best comedy romance adaptation classic like for sure seen more than once adapted from:book author:jane austen comedy dumb teen chick flick fashion very funny! omigawd!
150,74,Apollo 13,adventure drama,apollo 13 adventure drama adventure drama based on a book seen 2008 seen more than once did i see it? tom hanks moon nasa space space program based on a true story true story biographical see: in the shadow of the moon dvd dislike tom hanks tom hanks is great kevin bacon is a beast interesting we have a problem suspense claustrophobic earnest matter-of-fact nostalgic tense almost favorite drama setting:space/earth orbit want oscar (best editing) oscar (best sound) ron howard owned astronauts drive in outer space watch-again history disaster historical catastrophe good movie ed harris need to own clv formulaic afi 100 (cheers) afi 100 (movie quotes)
153,75,Batman Forever,action adventure comedy crime,batman forever action adventure comedy crime action adventure comedy crime adapted from:comic sequel super-hero comic book superhero jim carrey action ammaction batman nicole kidman seen at the cinema watched 1995 alter ego batman (series) ei muista want dc comics bank robbery watch-again tommy lee jones dc franchise
161,76,Crimson Tide,drama thriller war,crimson tide drama thriller war drama thriller war submarine own want gene hackman clearplay r denzel washington jason robards viggo mortensen war clv
